Date	Price	Open	High	Low	Change %
5-Sep-17	6.503	6.501	6.503	6.501	0.11
4-Sep-17	6.496	6.516	6.516	6.496	0.17
1-Sep-17	6.485	6.486	6.486	6.485	-0.63
31-Aug-17	6.526	6.544	6.544	6.526	-0.15
30-Aug-17	6.536	6.543	6.543	6.536	0.02
29-Aug-17	6.535	6.57	6.57	6.535	-0.53
28-Aug-17	6.57	6.564	6.57	6.564	0.49
24-Aug-17	6.538	6.536	6.538	6.536	0.05
23-Aug-17	6.535	6.531	6.535	6.531	0
22-Aug-17	6.535	6.514	6.535	6.514	0.35
21-Aug-17	6.512	6.51	6.512	6.51	-0.02
18-Aug-17	6.513	6.508	6.513	6.508	-0.32
16-Aug-17	6.534	6.53	6.534	6.53	0.21
14-Aug-17	6.52	6.508	6.52	6.508	0.22
11-Aug-17	6.506	6.489	6.506	6.489	0.15
10-Aug-17	6.496	6.472	6.496	6.472	0.45
9-Aug-17	6.467	6.458	6.467	6.458	0.12
8-Aug-17	6.459	6.457	6.459	6.457	0
7-Aug-17	6.459	6.449	6.459	6.449	0.28
6-Aug-17	6.441	6.441	6.441	6.441	0
4-Aug-17	6.441	6.433	6.441	6.433	0.16
3-Aug-17	6.431	6.445	6.445	6.431	-0.56
2-Aug-17	6.467	6.447	6.467	6.447	0.37
1-Aug-17	6.443	6.444	6.444	6.443	-0.36
31-Jul-17	6.466	6.451	6.466	6.451	0.05
28-Jul-17	6.463	6.441	6.463	6.441	0.36
27-Jul-17	6.44	6.424	6.44	6.424	-0.06
26-Jul-17	6.444	6.439	6.444	6.439	0.2
25-Jul-17	6.431	6.429	6.431	6.429	0.27
24-Jul-17	6.414	6.408	6.414	6.408	-0.34
21-Jul-17	6.436	6.438	6.438	6.436	-0.22
20-Jul-17	6.45	6.448	6.45	6.448	0.02
19-Jul-17	6.449	6.448	6.449	6.448	-0.11
18-Jul-17	6.456	6.457	6.457	6.456	0.02
17-Jul-17	6.455	6.463	6.463	6.455	-0.12
16-Jul-17	6.463	6.463	6.463	6.463	0
14-Jul-17	6.463	6.471	6.471	6.463	0.12
13-Jul-17	6.455	6.451	6.455	6.451	-0.08
12-Jul-17	6.46	6.455	6.46	6.455	-0.42
11-Jul-17	6.487	6.478	6.487	6.478	0.26
10-Jul-17	6.47	6.496	6.496	6.47	-0.95
7-Jul-17	6.532	6.532	6.532	6.532	-0.11
6-Jul-17	6.539	6.517	6.539	6.517	-0.17
5-Jul-17	6.55	6.539	6.55	6.539	0.02
4-Jul-17	6.549	6.56	6.56	6.549	-0.15
3-Jul-17	6.559	6.592	6.592	6.559	0.74
2-Jul-17	6.511	6.511	6.511	6.511	0
1-Jul-17	6.511	6.511	6.511	6.511	0
30-Jun-17	6.511	6.515	6.515	6.511	0.09
29-Jun-17	6.505	6.494	6.505	6.494	0.08
28-Jun-17	6.5	6.489	6.5	6.489	0.57
27-Jun-17	6.463	6.458	6.463	6.458	0.05
25-Jun-17	6.46	6.46	6.46	6.46	0
23-Jun-17	6.46	6.455	6.46	6.455	0.11
22-Jun-17	6.453	6.442	6.453	6.442	0.39
21-Jun-17	6.428	6.423	6.428	6.423	-0.28
